,class,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,BrdIndx_40,Area_40,Round_40,Bright_40,Compact_40,ShpIndx_40,Mean_G_40,Mean_R_40,Mean_NIR_40,SD_G_40,SD_R_40,SD_NIR_40,LW_40,GLCM1_40,Rect_40,GLCM2_40,Dens_40,Assym_40,NDVI_40,BordLngth_40,GLCM3_40,BrdIndx_60,Area_60,Round_60,Bright_60,Compact_60,ShpIndx_60,Mean_G_60,Mean_R_60,Mean_NIR_60,SD_G_60,SD_R_60,SD_NIR_60,LW_60,GLCM1_60,Rect_60,GLCM2_60,Dens_60,Assym_60,NDVI_60,BordLngth_60,GLCM3_60,BrdIndx_80,Area_80,Round_80,Bright_80,Compact_80,ShpIndx_80,Mean_G_80,Mean_R_80,Mean_NIR_80,SD_G_80,SD_R_80,SD_NIR_80,LW_80,GLCM1_80,Rect_80,GLCM2_80,Dens_80,Assym_80,NDVI_80,BordLngth_80,GLCM3_80,BrdIndx_100,Area_100,Round_100,Bright_100,Compact_100,ShpIndx_100,Mean_G_100,Mean_R_100,Mean_NIR_100,SD_G_100,SD_R_100,SD_NIR_100,LW_100,GLCM1_100,Rect_100,GLCM2_100,Dens_100,Assym_100,NDVI_100,BordLngth_100,GLCM3_100,BrdIndx_120,Area_120,Round_120,Bright_120,Compact_120,ShpIndx_120,Mean_G_120,Mean_R_120,Mean_NIR_120,SD_G_120,SD_R_120,SD_NIR_120,LW_120,GLCM1_120,Rect_120,GLCM2_120,Dens_120,Assym_120,NDVI_120,BordLngth_120,GLCM3_120,BrdIndx_140,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140
64,building ,1.48,3084,0.93,230.71,1.33,2.52,215.62,252.64,223.88,7.04,3.65,7.07,9.33,0.53,0.89,6.65,1.0,0.98,-0.08,560,2851.0,1.61,4439,1.54,230.66,1.81,2.44,215.64,252.07,224.26,8.72,4.95,10.08,6.91,0.6,0.72,6.92,0.93,0.99,-0.08,650,2432.42,1.57,4804,1.34,231.39,1.84,2.29,216.91,251.77,225.49,10.06,5.55,11.08,6.27,0.63,0.71,7.08,0.97,0.98,-0.07,634,2197.01,1.57,4804,1.34,231.39,1.84,2.29,216.91,251.77,225.49,10.06,5.55,11.08,6.27,0.63,0.71,7.08,0.97,0.98,-0.07,634,2197.01,1.57,4804,1.34,231.39,1.84,2.29,216.91,251.77,225.49,10.06,5.55,11.08,6.27,0.63,0.71,7.08,0.97,0.98,-0.07,634,2197.01,1.78,4982,1.33,230.79,2.14,2.42,217.76,249.89,224.72,11.33,11.77,12.08,5.19,0.68,0.65,7.16,1.01,0.98,-0.07,682,1965.5,1.78,4982,1.33,230.79,2.14,2.42,217.76,249.89,224.72,11.33,11.77,12.08,5.19,0.68,0.65,7.16,1.01,0.98,-0.07,682,1965.5
65,tree ,1.95,68,1.8,82.0,2.68,2.24,118.63,58.75,68.63,20.43,11.91,11.06,2.85,0.71,0.49,6.37,1.03,0.88,0.34,74,3064.06,3.36,1098,1.96,64.53,3.14,3.8,81.6,51.89,60.1,28.06,16.63,17.92,2.6,0.86,0.49,8.3,1.19,0.85,0.22,504,1085.98,2.89,1344,1.58,67.18,2.56,3.27,80.64,56.0,64.91,26.48,18.14,19.97,2.6,0.86,0.65,8.26,1.4,0.85,0.18,480,1078.37,2.78,1364,1.59,68.61,2.53,3.13,81.67,57.65,66.52,27.98,23.13,24.44,2.6,0.85,0.65,8.29,1.4,0.85,0.17,462,1063.45,2.78,1364,1.59,68.61,2.53,3.13,81.67,57.65,66.52,27.98,23.13,24.44,2.6,0.85,0.65,8.29,1.4,0.85,0.17,462,1063.45,2.78,1364,1.59,68.61,2.53,3.13,81.67,57.65,66.52,27.98,23.13,24.44,2.6,0.85,0.65,8.29,1.4,0.85,0.17,462,1063.45,2.78,1364,1.59,68.61,2.53,3.13,81.67,57.65,66.52,27.98,23.13,24.44,2.6,0.85,0.65,8.29,1.4,0.85,0.17,462,1063.45
66,grass ,2.91,446,1.28,177.46,2.73,3.17,233.06,138.07,161.25,6.21,6.14,6.53,2.11,0.53,0.65,6.33,1.54,0.68,0.26,268,2899.18,2.4,2712,1.45,168.11,2.32,2.42,223.11,129.74,151.47,10.8,8.96,9.19,1.15,0.77,0.8,7.23,2.01,0.47,0.26,504,1536.85,2.77,3131,1.79,168.04,3.65,2.85,223.02,129.66,151.44,13.02,10.67,10.71,1.55,0.78,0.64,7.44,1.74,0.24,0.26,638,1427.42,2.79,5977,1.99,167.1,3.05,2.82,220.62,129.4,151.28,13.58,12.33,12.65,1.03,0.82,0.62,7.45,1.77,0.55,0.26,872,1070.09,2.79,5977,1.99,167.1,3.05,2.82,220.62,129.4,151.28,13.58,12.33,12.65,1.03,0.82,0.62,7.45,1.77,0.55,0.26,872,1070.09,2.56,33625,1.04,161.85,1.69,2.69,207.9,130.73,146.92,12.95,12.7,10.72,1.87,0.86,0.89,7.35,2.09,0.65,0.23,1972,827.21,2.56,33625,1.04,161.85,1.69,2.69,207.9,130.73,146.92,12.95,12.7,10.72,1.87,0.86,0.89,7.35,2.09,0.65,0.23,1972,827.21
67,concrete ,1.51,912,0.46,227.73,1.51,1.62,201.1,240.27,241.82,6.51,6.58,6.87,1.98,0.48,0.87,6.41,1.96,0.67,-0.09,196,2956.96,2.13,2242,1.32,227.18,2.17,2.34,201.68,239.05,240.82,7.15,6.36,6.69,2.27,0.58,0.73,6.62,1.6,0.79,-0.08,444,2463.9,3.4,4618,2.44,226.92,3.43,3.48,201.67,238.51,240.59,7.8,7.99,8.21,1.48,0.62,0.29,6.7,1.27,0.57,-0.08,946,2100.8,3.62,11977,2.7,224.19,5.36,4.07,200.16,235.31,237.09,8.75,10.62,10.84,2.62,0.62,0.25,6.8,0.89,0.84,-0.08,1782,1898.2,3.62,11977,2.7,224.19,5.36,4.07,200.16,235.31,237.09,8.75,10.62,10.84,2.62,0.62,0.25,6.8,0.89,0.84,-0.08,1782,1898.2,3.77,16841,2.54,224.28,4.71,4.05,202.92,234.23,235.7,13.05,15.86,15.69,2.13,0.73,0.37,7.32,1.04,0.83,-0.07,2104,1446.9,3.77,16841,2.54,224.28,4.71,4.05,202.92,234.23,235.7,13.05,15.86,15.69,2.13,0.73,0.37,7.32,1.04,0.83,-0.07,2104,1446.9
68,concrete ,2.65,347,1.36,204.83,3.03,2.85,186.4,212.07,216.01,14.39,11.59,11.96,1.68,0.68,0.54,7.02,1.42,0.75,-0.06,212,2309.07,3.84,685,3.32,206.03,6.63,4.18,192.4,211.3,214.39,21.01,16.73,16.81,2.03,0.83,0.4,7.67,1.02,0.64,-0.05,438,1266.43,3.8,741,3.17,202.41,6.14,4.11,190.54,206.4,210.3,24.92,27.05,24.95,1.99,0.79,0.39,7.77,1.06,0.59,-0.04,448,1447.27,4.23,818,2.91,196.17,5.56,4.58,183.86,200.25,204.39,33.79,34.8,32.65,2.0,0.83,0.39,7.9,1.14,0.53,-0.04,524,1131.24,4.23,818,2.91,196.17,5.56,4.58,183.86,200.25,204.39,33.79,34.8,32.65,2.0,0.83,0.39,7.9,1.14,0.53,-0.04,524,1131.24,5.54,3488,4.19,174.33,8.42,5.63,192.41,160.66,169.91,42.72,41.39,37.74,1.32,0.91,0.35,8.72,1.14,0.43,0.09,1330,586.37,5.63,3816,4.06,168.37,7.69,5.74,183.55,156.14,165.43,51.91,45.0,41.82,1.32,0.92,0.31,8.62,1.14,0.42,0.08,1418,534.17
69,concrete ,2.13,709,1.01,216.69,1.69,2.16,189.63,229.58,230.87,6.36,7.0,8.17,1.25,0.46,0.82,6.45,2.03,0.27,-0.1,230,3427.7,2.7,1297,1.56,214.67,2.59,2.74,188.6,227.22,228.2,12.91,12.56,13.16,1.04,0.75,0.68,7.22,1.9,0.23,-0.09,394,1614.64,3.75,3271,2.48,219.47,3.98,3.8,197.48,230.78,230.14,17.11,18.53,19.33,1.15,0.81,0.56,7.9,1.62,0.18,-0.08,870,1285.02,3.75,3271,2.48,219.47,3.98,3.8,197.48,230.78,230.14,17.11,18.53,19.33,1.15,0.81,0.56,7.9,1.62,0.18,-0.08,870,1285.02,4.12,6900,1.82,216.46,3.45,4.32,192.93,227.94,228.51,16.76,17.85,18.0,1.79,0.8,0.57,7.73,1.62,0.54,-0.08,1434,1181.02,4.12,6900,1.82,216.46,3.45,4.32,192.93,227.94,228.51,16.76,17.85,18.0,1.79,0.8,0.57,7.73,1.62,0.54,-0.08,1434,1181.02,5.94,13737,2.28,219.54,4.39,6.16,193.17,231.89,233.56,19.8,19.42,19.41,1.64,0.8,0.25,8.09,1.19,0.66,-0.09,2888,1268.54
70,grass ,1.3,85,0.7,150.84,1.68,1.41,183.07,130.14,139.32,21.21,13.88,11.73,1.18,0.73,0.81,6.29,1.8,0.35,0.17,52,1608.25,2.56,525,2.05,142.74,2.63,2.9,157.9,131.66,138.65,34.08,27.24,25.62,2.51,0.79,0.73,7.97,1.6,0.74,0.09,266,1545.28,2.9,629,2.34,147.34,3.03,3.01,157.3,139.33,145.39,41.0,40.84,38.83,1.47,0.78,0.73,8.17,1.7,0.55,0.06,302,1572.41,3.8,1802,2.25,170.49,3.43,4.12,177.06,164.47,169.93,39.07,48.04,44.37,2.11,0.79,0.31,8.7,1.1,0.8,0.04,700,1424.14,5.26,2882,2.46,164.54,4.71,5.29,183.96,150.08,159.6,41.62,48.01,43.84,1.04,0.83,0.17,8.93,1.18,0.51,0.1,1136,1212.34,5.26,2882,2.46,164.54,4.71,5.29,183.96,150.08,159.6,41.62,48.01,43.84,1.04,0.83,0.17,8.93,1.18,0.51,0.1,1136,1212.34,5.26,2882,2.46,164.54,4.71,5.29,183.96,150.08,159.6,41.62,48.01,43.84,1.04,0.83,0.17,8.93,1.18,0.51,0.1,1136,1212.34
71,building ,2.81,1006,1.17,236.35,2.43,3.11,204.87,251.77,252.4,6.52,4.52,4.1,2.23,0.43,0.75,6.34,1.73,0.73,-0.1,394,2881.24,2.99,4305,1.56,234.33,1.84,3.03,203.6,248.87,250.51,7.53,7.7,6.47,1.34,0.47,0.78,6.71,2.1,0.12,-0.1,796,2980.75,2.83,5847,1.07,234.73,1.45,2.88,204.08,249.25,250.87,7.38,7.25,6.08,1.43,0.47,0.84,6.66,2.2,0.33,-0.1,882,2882.3,2.83,5847,1.07,234.73,1.45,2.88,204.08,249.25,250.87,7.38,7.25,6.08,1.43,0.47,0.84,6.66,2.2,0.33,-0.1,882,2882.3,2.24,6070,0.61,232.53,1.4,2.3,202.02,246.87,248.7,14.79,16.27,14.75,1.43,0.63,0.86,6.83,2.26,0.32,-0.1,716,1082.1,2.24,6070,0.61,232.53,1.4,2.3,202.02,246.87,248.7,14.79,16.27,14.75,1.43,0.63,0.86,6.83,2.26,0.32,-0.1,716,1082.1,2.24,6070,0.61,232.53,1.4,2.3,202.02,246.87,248.7,14.79,16.27,14.75,1.43,0.63,0.86,6.83,2.26,0.32,-0.1,716,1082.1
72,building ,1.59,1737,0.67,219.61,1.3,1.64,185.86,233.84,239.13,7.08,7.03,7.28,1.49,0.47,0.9,6.51,2.15,0.51,-0.11,274,2637.73,1.22,2602,0.56,220.98,1.26,1.24,188.22,235.03,239.68,10.98,9.75,9.35,1.17,0.7,0.91,6.92,2.29,0.29,-0.11,254,1515.99,1.22,2602,0.56,220.98,1.26,1.24,188.22,235.03,239.68,10.98,9.75,9.35,1.17,0.7,0.91,6.92,2.29,0.29,-0.11,254,1515.99,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44,1.16,3120,0.48,223.47,1.33,1.17,193.77,236.34,240.29,17.07,11.53,10.65,1.02,0.87,0.91,7.38,2.34,0.11,-0.1,262,848.44
73,soil ,1.37,58,1.13,202.91,1.88,1.71,200.52,203.14,205.07,6.84,8.02,7.86,2.94,0.46,0.69,5.72,1.18,0.9,-0.01,52,5254.05,1.57,139,1.07,192.54,1.74,1.99,191.35,193.3,192.96,10.82,11.98,13.28,3.8,0.69,0.75,6.6,1.32,0.89,-0.01,94,2316.41,1.57,139,1.07,192.54,1.74,1.99,191.35,193.3,192.96,10.82,11.98,13.28,3.8,0.69,0.75,6.6,1.32,0.89,-0.01,94,2316.41,1.79,6219,0.75,165.32,1.61,2.73,175.5,160.68,159.77,16.63,19.74,19.11,7.14,0.83,0.86,7.96,1.15,0.97,0.04,862,1108.15,1.79,6219,0.75,165.32,1.61,2.73,175.5,160.68,159.77,16.63,19.74,19.11,7.14,0.83,0.86,7.96,1.15,0.97,0.04,862,1108.15,1.79,6219,0.75,165.32,1.61,2.73,175.5,160.68,159.77,16.63,19.74,19.11,7.14,0.83,0.86,7.96,1.15,0.97,0.04,862,1108.15,4.59,8828,4.52,164.61,8.82,4.65,179.08,156.41,158.36,26.14,25.47,23.44,1.19,0.87,0.43,8.4,1.23,0.75,0.07,1746,803.26
74,soil ,2.79,293,1.37,237.11,2.4,3.1,227.22,242.45,241.68,7.9,9.0,9.86,2.17,0.45,0.67,6.66,1.5,0.73,-0.03,212,3689.82,3.36,667,1.62,232.08,2.51,3.45,224.61,236.22,235.39,9.14,11.39,12.16,1.1,0.48,0.71,7.03,1.83,0.21,-0.03,356,3422.47,3.36,667,1.62,232.08,2.51,3.45,224.61,236.22,235.39,9.14,11.39,12.16,1.1,0.48,0.71,7.03,1.83,0.21,-0.03,356,3422.47,3.36,667,1.62,232.08,2.51,3.45,224.61,236.22,235.39,9.14,11.39,12.16,1.1,0.48,0.71,7.03,1.83,0.21,-0.03,356,3422.47,4.94,4650,2.83,208.52,4.86,4.96,211.21,207.85,206.5,19.48,27.17,26.15,1.08,0.8,0.22,8.03,1.23,0.71,0.01,1354,1146.01,4.84,5657,2.78,203.49,4.38,4.86,208.3,201.78,200.39,20.37,30.5,29.71,1.02,0.81,0.27,8.22,1.28,0.71,0.02,1462,1160.66,4.84,5657,2.78,203.49,4.38,4.86,208.3,201.78,200.39,20.37,30.5,29.71,1.02,0.81,0.27,8.22,1.28,0.71,0.02,1462,1160.66
75,grass ,2.02,692,1.14,158.16,1.86,2.11,203.51,127.04,143.92,8.48,7.76,7.69,1.64,0.65,0.79,6.82,1.86,0.64,0.23,222,2274.65,1.98,744,1.09,159.23,1.94,2.11,204.05,128.54,145.09,8.7,9.62,8.77,1.77,0.63,0.82,6.88,1.86,0.64,0.23,230,2456.55,2.38,1482,1.13,153.32,2.25,2.42,198.69,122.51,138.77,15.51,16.6,15.53,1.23,0.74,0.75,7.4,2.04,0.25,0.24,372,1556.32,2.38,1482,1.13,153.32,2.25,2.42,198.69,122.51,138.77,15.51,16.6,15.53,1.23,0.74,0.75,7.4,2.04,0.25,0.24,372,1556.32,2.38,1664,1.28,157.11,2.37,2.45,200.06,127.68,143.61,17.72,26.11,24.02,1.41,0.73,0.79,7.6,2.02,0.19,0.22,400,1654.58,2.38,1664,1.28,157.11,2.37,2.45,200.06,127.68,143.61,17.72,26.11,24.02,1.41,0.73,0.79,7.6,2.02,0.19,0.22,400,1654.58,6.42,5095,2.39,151.84,5.03,6.89,174.23,134.9,146.4,39.03,36.95,34.14,2.08,0.85,0.47,9.11,1.16,0.73,0.13,1966,1093.47
76,building ,1.23,972,0.69,89.37,1.3,1.38,76.3,99.45,92.36,8.02,7.92,7.63,2.39,0.61,0.89,6.75,1.82,0.77,-0.13,172,2517.68,1.23,972,0.69,89.37,1.3,1.38,76.3,99.45,92.36,8.02,7.92,7.63,2.39,0.61,0.89,6.75,1.82,0.77,-0.13,172,2517.68,1.23,972,0.69,89.37,1.3,1.38,76.3,99.45,92.36,8.02,7.92,7.63,2.39,0.61,0.89,6.75,1.82,0.77,-0.13,172,2517.68,1.23,972,0.69,89.37,1.3,1.38,76.3,99.45,92.36,8.02,7.92,7.63,2.39,0.61,0.89,6.75,1.82,0.77,-0.13,172,2517.68,1.57,2050,1.45,100.1,1.73,1.59,86.56,110.9,102.82,13.68,14.47,13.53,1.05,0.83,0.73,7.41,1.98,0.29,-0.12,288,1176.03,1.57,2050,1.45,100.1,1.73,1.59,86.56,110.9,102.82,13.68,14.47,13.53,1.05,0.83,0.73,7.41,1.98,0.29,-0.12,288,1176.03,1.57,2050,1.45,100.1,1.73,1.59,86.56,110.9,102.82,13.68,14.47,13.53,1.05,0.83,0.73,7.41,1.98,0.29,-0.12,288,1176.03
77,car ,1.0,63,0.27,230.65,1.14,1.07,200.54,245.76,245.63,13.35,14.85,13.93,1.13,0.4,0.93,5.74,1.85,0.17,-0.1,34,4757.86,1.0,63,0.27,230.65,1.14,1.07,200.54,245.76,245.63,13.35,14.85,13.93,1.13,0.4,0.93,5.74,1.85,0.17,-0.1,34,4757.86,1.93,404,1.71,178.64,2.11,2.01,182.32,174.36,179.25,46.11,49.87,47.44,1.61,0.81,0.66,7.81,1.79,0.5,0.02,162,1470.03,1.93,404,1.71,178.64,2.11,2.01,182.32,174.36,179.25,46.11,49.87,47.44,1.61,0.81,0.66,7.81,1.79,0.5,0.02,162,1470.03,5.83,7307,2.43,134.42,4.68,6.75,156.45,119.76,127.06,55.71,50.62,50.09,2.96,0.89,0.38,9.29,0.88,0.94,0.13,2308,778.54,6.6,8687,2.8,135.99,6.15,6.97,155.68,122.43,129.85,53.52,50.08,49.52,1.88,0.89,0.23,9.37,0.89,0.8,0.12,2600,797.98,6.6,8687,2.8,135.99,6.15,6.97,155.68,122.43,129.85,53.52,50.08,49.52,1.88,0.89,0.23,9.37,0.89,0.8,0.12,2600,797.98
78,soil ,2.39,404,1.17,211.24,2.09,2.74,230.23,203.35,200.14,6.38,7.0,6.72,2.59,0.48,0.77,6.31,1.5,0.82,0.06,220,2966.85,2.69,2838,1.8,207.33,2.21,2.75,223.87,200.69,197.44,7.25,9.09,8.14,1.44,0.63,0.78,6.68,1.83,0.6,0.05,586,2271.55,2.58,3365,1.64,206.0,2.2,2.62,224.69,197.78,195.53,7.34,11.37,9.25,1.22,0.65,0.79,6.71,1.96,0.54,0.06,608,2199.78,4.01,5010,1.66,208.29,2.5,4.17,226.15,200.24,198.47,8.63,11.86,10.85,1.69,0.67,0.75,6.95,1.8,0.6,0.06,1180,2012.03,4.01,5010,1.66,208.29,2.5,4.17,226.15,200.24,198.47,8.63,11.86,10.85,1.69,0.67,0.75,6.95,1.8,0.6,0.06,1180,2012.03,2.97,20424,1.39,197.91,2.34,3.08,222.98,184.36,186.39,10.78,17.49,15.06,1.69,0.77,0.71,7.28,1.96,0.62,0.09,1758,1496.25,2.97,20424,1.39,197.91,2.34,3.08,222.98,184.36,186.39,10.78,17.49,15.06,1.69,0.77,0.71,7.28,1.96,0.62,0.09,1758,1496.25
79,concrete ,1.04,67,0.19,245.87,1.19,1.47,239.37,247.81,250.43,12.14,6.57,6.1,5.0,0.17,0.89,5.9,1.31,0.92,-0.02,48,5067.5,3.32,398,2.18,217.85,4.66,3.66,231.65,207.86,214.05,20.11,33.1,28.88,2.21,0.75,0.38,7.1,1.03,0.84,0.05,292,1873.76,3.14,832,2.16,225.63,5.3,4.35,226.02,223.92,226.96,17.43,30.42,26.95,5.24,0.74,0.46,7.61,0.68,0.98,0.0,502,1923.32,3.14,832,2.16,225.63,5.3,4.35,226.02,223.92,226.96,17.43,30.42,26.95,5.24,0.74,0.46,7.61,0.68,0.98,0.0,502,1923.32,3.14,832,2.16,225.63,5.3,4.35,226.02,223.92,226.96,17.43,30.42,26.95,5.24,0.74,0.46,7.61,0.68,0.98,0.0,502,1923.32,2.9,2786,1.8,198.27,3.6,3.24,200.12,194.86,199.83,30.94,38.63,35.3,2.52,0.88,0.5,8.51,1.12,0.92,0.01,684,748.11,2.9,2786,1.8,198.27,3.6,3.24,200.12,194.86,199.83,30.94,38.63,35.3,2.52,0.88,0.5,8.51,1.12,0.92,0.01,684,748.11
80,shadow ,2.22,299,0.97,47.46,1.99,2.31,43.7,45.6,53.09,6.23,6.34,6.13,1.53,0.47,0.75,6.28,1.83,0.45,-0.02,160,3426.41,2.39,779,1.2,52.86,2.35,2.53,50.55,49.73,58.28,11.48,9.3,9.94,1.79,0.7,0.74,7.0,1.8,0.57,0.01,282,1995.14,2.19,876,0.99,57.08,2.08,2.33,54.06,54.44,62.73,16.66,18.21,17.9,1.81,0.77,0.76,7.23,1.84,0.63,0.0,276,1431.95,2.19,876,0.99,57.08,2.08,2.33,54.06,54.44,62.73,16.66,18.21,17.9,1.81,0.77,0.76,7.23,1.84,0.63,0.0,276,1431.95,2.23,1649,1.03,70.69,1.82,2.25,77.31,62.64,72.13,36.43,20.75,20.8,1.16,0.91,0.8,8.32,2.13,0.3,0.1,366,650.58,2.23,1649,1.03,70.69,1.82,2.25,77.31,62.64,72.13,36.43,20.75,20.8,1.16,0.91,0.8,8.32,2.13,0.3,0.1,366,650.58,2.23,1649,1.03,70.69,1.82,2.25,77.31,62.64,72.13,36.43,20.75,20.8,1.16,0.91,0.8,8.32,2.13,0.3,0.1,366,650.58
81,shadow ,2.42,636,1.69,42.3,2.59,2.54,48.24,35.89,42.76,6.87,6.06,6.24,1.63,0.57,0.67,6.5,1.6,0.67,0.15,256,2869.18,2.19,714,1.61,43.77,2.4,2.34,49.1,37.73,44.48,7.39,8.74,8.28,1.72,0.61,0.69,6.62,1.64,0.68,0.13,250,2699.49,2.17,1365,1.31,48.95,1.85,2.29,59.78,40.24,46.85,17.79,9.82,10.02,1.82,0.87,0.79,7.48,1.8,0.67,0.2,338,883.96,2.9,2158,1.47,58.32,2.53,2.99,71.35,48.23,55.39,26.04,16.43,16.89,1.55,0.9,0.76,8.16,1.85,0.57,0.19,556,768.36,2.9,2158,1.47,58.32,2.53,2.99,71.35,48.23,55.39,26.04,16.43,16.89,1.55,0.9,0.76,8.16,1.85,0.57,0.19,556,768.36,2.9,2158,1.47,58.32,2.53,2.99,71.35,48.23,55.39,26.04,16.43,16.89,1.55,0.9,0.76,8.16,1.85,0.57,0.19,556,768.36,2.9,2158,1.47,58.32,2.53,2.99,71.35,48.23,55.39,26.04,16.43,16.89,1.55,0.9,0.76,8.16,1.85,0.57,0.19,556,768.36
82,car ,1.43,94,0.94,226.07,1.34,1.7,200.68,240.35,237.17,18.5,18.52,19.07,2.57,0.39,0.83,6.28,1.48,0.79,-0.09,66,5131.82,1.43,94,0.94,226.07,1.34,1.7,200.68,240.35,237.17,18.5,18.52,19.07,2.57,0.39,0.83,6.28,1.48,0.79,-0.09,66,5131.82,1.43,94,0.94,226.07,1.34,1.7,200.68,240.35,237.17,18.5,18.52,19.07,2.57,0.39,0.83,6.28,1.48,0.79,-0.09,66,5131.82,2.47,384,1.36,176.95,2.66,2.7,153.44,188.64,188.78,36.07,38.83,37.99,1.95,0.73,0.69,7.87,1.52,0.74,-0.1,212,1916.96,2.47,384,1.36,176.95,2.66,2.7,153.44,188.64,188.78,36.07,38.83,37.99,1.95,0.73,0.69,7.87,1.52,0.74,-0.1,212,1916.96,2.47,384,1.36,176.95,2.66,2.7,153.44,188.64,188.78,36.07,38.83,37.99,1.95,0.73,0.69,7.87,1.52,0.74,-0.1,212,1916.96,2.47,384,1.36,176.95,2.66,2.7,153.44,188.64,188.78,36.07,38.83,37.99,1.95,0.73,0.69,7.87,1.52,0.74,-0.1,212,1916.96
83,shadow ,2.03,368,1.88,41.54,2.43,2.06,46.96,36.67,40.98,9.52,9.3,8.6,1.14,0.66,0.64,6.84,1.71,0.41,0.12,158,2584.22,2.02,434,1.42,42.93,2.06,2.09,51.32,36.47,41.01,13.97,8.88,8.34,1.14,0.82,0.72,7.12,1.91,0.34,0.17,174,1355.94,2.02,434,1.42,42.93,2.06,2.09,51.32,36.47,41.01,13.97,8.88,8.34,1.14,0.82,0.72,7.12,1.91,0.34,0.17,174,1355.94,3.1,1844,2.18,62.26,3.78,3.21,75.38,53.38,58.03,30.45,25.29,23.73,1.55,0.86,0.53,8.45,1.52,0.43,0.17,552,1041.92,3.29,2718,1.74,70.49,3.65,3.6,86.72,59.65,65.11,40.13,28.18,28.28,2.21,0.9,0.58,8.85,1.6,0.65,0.18,750,750.34,3.29,2718,1.74,70.49,3.65,3.6,86.72,59.65,65.11,40.13,28.18,28.28,2.21,0.9,0.58,8.85,1.6,0.65,0.18,750,750.34,3.29,2718,1.74,70.49,3.65,3.6,86.72,59.65,65.11,40.13,28.18,28.28,2.21,0.9,0.58,8.85,1.6,0.65,0.18,750,750.34
84,concrete ,2.73,354,1.63,230.13,2.62,2.9,202.94,243.73,243.72,4.86,5.24,5.24,1.56,0.54,0.77,5.81,1.75,0.51,-0.09,218,3124.84,1.84,2518,0.8,228.8,1.58,2.22,201.69,242.12,242.58,6.01,5.77,5.8,3.5,0.7,0.89,6.1,1.63,0.87,-0.09,446,1807.08,2.9,5706,2.53,230.86,3.56,3.44,204.85,243.84,243.9,8.48,6.59,6.87,3.2,0.8,0.57,6.42,1.08,0.92,-0.09,1038,1039.69,3.34,7673,1.85,233.1,4.14,3.57,207.28,246.0,246.02,9.17,7.24,7.37,1.99,0.83,0.58,6.69,1.33,0.79,-0.09,1250,1048.86,3.34,7673,1.85,233.1,4.14,3.57,207.28,246.0,246.02,9.17,7.24,7.37,1.99,0.83,0.58,6.69,1.33,0.79,-0.09,1250,1048.86,3.68,20770,2.19,232.03,3.5,4.78,206.27,244.79,245.03,10.39,8.98,8.79,4.51,0.84,0.43,6.95,0.83,0.98,-0.09,2758,1037.33,3.68,20770,2.19,232.03,3.5,4.78,206.27,244.79,245.03,10.39,8.98,8.79,4.51,0.84,0.43,6.95,0.83,0.98,-0.09,2758,1037.33
85,tree ,2.0,127,1.49,121.61,2.54,2.31,187.76,80.9,96.17,13.31,10.36,11.44,2.32,0.74,0.65,6.65,1.33,0.8,0.4,104,2421.36,2.02,324,1.59,131.11,2.01,2.31,197.43,90.65,105.26,16.23,14.83,13.19,2.51,0.82,0.67,7.3,1.38,0.83,0.37,166,1427.88,1.89,624,1.35,114.58,2.24,2.04,173.21,78.7,91.83,31.77,18.59,19.29,1.88,0.93,0.79,8.0,1.72,0.71,0.38,204,529.83,1.89,624,1.35,114.58,2.24,2.04,173.21,78.7,91.83,31.77,18.59,19.29,1.88,0.93,0.79,8.0,1.72,0.71,0.38,204,529.83,1.89,624,1.35,114.58,2.24,2.04,173.21,78.7,91.83,31.77,18.59,19.29,1.88,0.93,0.79,8.0,1.72,0.71,0.38,204,529.83,5.35,8438,2.08,153.55,4.28,5.56,201.2,121.66,137.79,36.81,37.32,33.45,1.66,0.89,0.37,8.7,1.23,0.62,0.25,2042,644.34,6.6,10866,2.13,151.83,4.36,6.65,200.49,119.22,135.77,40.44,35.42,32.37,1.19,0.9,0.35,8.71,1.31,0.24,0.25,2774,541.8
